pos,transaction,date,amount
33618a,201903020019,2019-03-02 13:42:33,34.95
33618a,201903020020,2019-03-02 13:43:52,9.99
33618a,201903020021,2019-03-02 13:44:10,4.99
33618a,201903020022,2019-03-02 13:52:05,7.99
33618a,201903020023,2019-03-02 13:59:44,24.99
33618a,201903020024,2019-03-02 14:00:34,6.0
33618a,201903020025,2019-03-02 14:00:54,3.99
33618a,201903020026,2019-03-02 14:01:44,3.99
33618a,201903020027,2019-03-02 14:02:16,14.99
33618a,201903020028,2019-03-02 14:03:35,9.99
33618a,201903020029,2019-03-02 14:04:03,3.99
33618a,201903020030,2019-03-02 14:05:31,33.97
33618a,201903020031,2019-03-02 14:07:21,12.97
33618a,201903020032,2019-03-02 14:07:40,3.99
33618a,201903020033,2019-03-02 14:08:37,9.98
33618a,201903020034,2019-03-02 14:12:39,12.99
33618a,201903020035,2019-03-02 14:13:27,5.5
33618a,201903020036,2019-03-02 14:15:05,13.17
33618a,201903020037,2019-03-02 14:20:19,12.16
33618a,201903020038,2019-03-02 14:27:01,7.99
33618a,201903020039,2019-03-02 14:28:34,3.99
33618a,201903020040,2019-03-02 14:37:46,11.99
33618a,201903020041,2019-03-02 14:45:47,9.98
33618a,201903020042,2019-03-02 14:46:08,8.97
33618a,201903020043,2019-03-02 14:46:39,15.98
33618a,201903020044,2019-03-02 14:47:14,8.19
33618a,201903020045,2019-03-02 14:47:53,7.99
33618a,201903020046,2019-03-02 14:50:25,38.93
33618a,201903020047,2019-03-02 14:51:08,12.98
33618a,201903020048,2019-03-02 14:51:48,11.96
33618a,201903020049,2019-03-02 14:53:06,6.68
33618a,201903020050,2019-03-02 14:53:24,4.99
33618a,201903020051,2019-03-02 14:54:15,10.98
33618a,201903020052,2019-03-02 14:55:15,26.18
33618a,201903020053,2019-03-02 14:55:56,25.97
33618a,201903020054,2019-03-02 14:56:32,29.99
33618a,201903020055,2019-03-02 14:57:21,9.99
33618a,201903020056,2019-03-02 14:58:04,4.99
33618a,201903020057,2019-03-02 14:58:33,4.99
33618a,201903020058,2019-03-02 14:59:30,24.16
33618a,201903020059,2019-03-02 15:00:15,6.99
33618a,201903020060,2019-03-02 15:02:19,28.95
33618a,201903020061,2019-03-02 15:03:15,13.19
33618a,201903020062,2019-03-02 15:03:46,29.99
33618a,201903020063,2019-03-02 15:04:47,57.14
33618a,201903020064,2019-03-02 15:05:43,30.17
33618a,201903020065,2019-03-02 15:10:37,1.99
33618a,201903020066,2019-03-02 15:11:00,5.0
33618a,201903020067,2019-03-02 15:11:29,7.99
33618a,201903020068,2019-03-02 15:12:01,37.92
33618a,201903020069,2019-03-02 15:12:54,3.99
33618a,201903020070,2019-03-02 15:20:16,30.94
33618a,201903020071,2019-03-02 15:22:18,9.95
33618a,201903020072,2019-03-02 15:33:13,2.0
33618a,201903020073,2019-03-02 15:39:46,15.97
33618a,201903020074,2019-03-02 15:40:04,2.0
33618a,201903020075,2019-03-02 15:46:47,15.96
33618a,201903020076,2019-03-02 15:49:10,7.98
33618a,201903020077,2019-03-02 15:49:51,19.18
33618a,201903020078,2019-03-02 15:51:09,33.16
33618a,201903020079,2019-03-02 16:07:22,29.99
33618a,201903020080,2019-03-02 16:07:49,9.99
33618a,201903020081,2019-03-02 16:10:12,1.99
33618a,201903020082,2019-03-02 16:15:38,17.16
33618a,201903020083,2019-03-02 16:22:49,4.99
33618a,201903020084,2019-03-02 16:31:34,-19.99
33618a,201903020085,2019-03-02 16:32:21,2.99
33618a,201903020086,2019-03-02 16:33:43,7.99
33618a,201903020087,2019-03-02 16:40:56,7.98
33618a,201903020088,2019-03-02 16:44:53,18.98
33618a,201903020089,2019-03-02 16:45:30,14.99
33618a,201903020090,2019-03-02 16:46:31,12.18
33618a,201903020091,2019-03-02 16:46:55,3.98
33618a,201903020092,2019-03-02 17:12:18,2.99
33618a,201903020093,2019-03-02 17:23:35,7.98
33618a,201903020094,2019-03-02 17:24:49,13.97
33618a,201903020095,2019-03-02 17:37:42,6.99
33618a,201903020096,2019-03-02 17:42:55,32.15
33618a,201903020097,2019-03-02 17:44:04,22.96
33618a,201903020098,2019-03-02 17:45:13,27.15
33618a,201903020099,2019-03-02 18:11:26,24.99
33618a,201903020100,2019-03-02 18:12:02,16.99
33618a,201903020101,2019-03-02 18:12:27,2.99
33618a,201903020102,2019-03-02 18:15:42,6.98
33618a,201903020103,2019-03-02 18:16:15,-3.99
33618a,201903020104,2019-03-02 18:20:41,1.99
33618a,201903020105,2019-03-02 18:41:04,4.98
33618a,201903020106,2019-03-02 18:44:19,30.17
33618a,201903020107,2019-03-02 18:45:00,14.99
33618a,201903020108,2019-03-02 18:56:54,6.99
33618a,201903020109,2019-03-02 19:02:52,9.99
33618a,201903020110,2019-03-02 19:03:21,5.99
33618a,201903020111,2019-03-02 19:30:49,30.08
33618a,201903020112,2019-03-02 19:55:43,16.17
33618a,201903030001,2019-03-03 10:34:30,33.95
33618a,201903030002,2019-03-03 10:44:42,29.99
33618a,201903030003,2019-03-03 10:55:55,7.99
33618a,201903030004,2019-03-03 10:58:03,8.98
33618a,201903030005,2019-03-03 10:58:24,6.99
33618a,201903030006,2019-03-03 10:58:46,7.99
33618a,201903030007,2019-03-03 11:03:14,19.98
33618a,201903030008,2019-03-03 11:16:42,19.98
33618a,201903030009,2019-03-03 11:21:56,3.99
33618a,201903030010,2019-03-03 11:34:13,9.99
33618a,201903030011,2019-03-03 11:34:43,11.98
33618a,201903030012,2019-03-03 11:35:14,15.98
33618a,201903030013,2019-03-03 11:54:15,64.12
33618a,201903030014,2019-03-03 11:59:09,6.99
33618a,201903030015,2019-03-03 12:06:18,9.99
33618a,201903030016,2019-03-03 12:12:04,35.97
33618a,201903030017,2019-03-03 12:20:49,19.98
33618a,201903030018,2019-03-03 12:21:42,15.08
33618a,201903030019,2019-03-03 12:24:36,3.99
33618a,201903030020,2019-03-03 12:25:16,7.99
33618a,201903030021,2019-03-03 12:41:54,4.99
33618a,201903030022,2019-03-03 12:43:09,1.99
33618a,201903030023,2019-03-03 12:44:49,41.14
33618a,201903030024,2019-03-03 12:58:03,23.16
33618a,201903030025,2019-03-03 12:58:25,7.99
33618a,201903030026,2019-03-03 12:59:01,4.99
33618a,201903030027,2019-03-03 12:59:38,1.99
33618a,201903030028,2019-03-03 13:28:23,10.97
33618a,201903030029,2019-03-03 13:29:03,7.99
33618a,201903030030,2019-03-03 13:29:25,4.99
33618a,201903030031,2019-03-03 13:32:24,11.97
33618a,201903030032,2019-03-03 13:34:33,6.49
33618a,201903030033,2019-03-03 13:39:27,28.97
33618a,201903030034,2019-03-03 13:40:25,7.98
33618a,201903030035,2019-03-03 13:44:26,2.99
33618a,201903030036,2019-03-03 13:52:02,3.99
33618a,201903030037,2019-03-03 13:52:20,4.98
33618a,201903030038,2019-03-03 13:52:47,4.99
33618a,201903030039,2019-03-03 13:56:50,22.96
33618a,201903030040,2019-03-03 13:57:31,17.96
33618a,201903030041,2019-03-03 14:01:55,10.95
33618a,201903030042,2019-03-03 14:02:35,2.99
33618a,201903030043,2019-03-03 14:03:15,14.17
33618a,201903030044,2019-03-03 14:05:52,2.99
33618a,201903030045,2019-03-03 14:11:57,4.99
33618a,201903030046,2019-03-03 14:12:09,9.99
33618a,201903030047,2019-03-03 14:13:34,26.96
33618a,201903030048,2019-03-03 14:15:26,4.99
33618a,201903030049,2019-03-03 14:16:00,13.98
33618a,201903030050,2019-03-03 14:25:55,6.99
33618a,201903030051,2019-03-03 14:32:53,5.99
33618a,201903030052,2019-03-03 14:33:37,17.97
33618a,201903030053,2019-03-03 14:35:34,13.17
33618a,201903030054,2019-03-03 14:42:44,24.97
33618a,201903030055,2019-03-03 14:44:05,6.49
33618a,201903030056,2019-03-03 14:47:41,49.94
33618a,201903030057,2019-03-03 14:51:07,7.49
33618a,201903030058,2019-03-03 14:52:21,6.99
33618a,201903030059,2019-03-03 14:52:44,1.99
33618a,201903030060,2019-03-03 14:53:03,9.99
33618a,201903030061,2019-03-03 14:55:27,4.99
33618a,201903030062,2019-03-03 15:00:38,7.98
33618a,201903030063,2019-03-03 15:03:26,1.0
33618a,201903030064,2019-03-03 15:13:10,5.98
33618a,201903030065,2019-03-03 15:16:20,20.18
33618a,201903030066,2019-03-03 15:17:03,10.18
33618a,201903030067,2019-03-03 15:18:37,9.99
33618a,201903030068,2019-03-03 15:19:06,4.09
33618a,201903030069,2019-03-03 15:25:41,18.18
33618a,201903030070,2019-03-03 15:33:23,4.99
33618a,201903030071,2019-03-03 15:34:03,27.98
33618a,201903030072,2019-03-03 15:45:28,6.99
33618a,201903030073,2019-03-03 15:48:54,59.98
33618a,201903030074,2019-03-03 15:49:38,6.99
33618a,201903030075,2019-03-03 15:50:13,3.98
33618a,201903030076,2019-03-03 15:51:11,5.99
33618a,201903030077,2019-03-03 16:04:04,28.68
33618a,201903030078,2019-03-03 16:15:47,-9.99
33618a,201903030079,2019-03-03 16:39:42,9.47
33618a,201903030080,2019-03-03 16:40:22,12.98
33618a,201903030081,2019-03-03 16:40:48,3.0
33618a,201903030082,2019-03-03 17:32:15,-29.99
33618a,201903030083,2019-03-03 17:32:35,29.99
33618a,201903030084,2019-03-03 17:46:51,1.0
33618a,201903030085,2019-03-03 18:28:30,3.99
33618a,201903030086,2019-03-03 18:44:57,3.99
33618a,201903030087,2019-03-03 18:45:31,1.0
33618a,201903040001,2019-03-04 11:04:36,12.97
33618a,201903040002,2019-03-04 11:39:53,29.94
33618a,201903040003,2019-03-04 12:43:18,7.98
33618a,201903040004,2019-03-04 13:06:15,24.97
33618a,201903040005,2019-03-04 13:06:40,3.99
33618a,201903040006,2019-03-04 13:22:00,1.99
33618a,201903040007,2019-03-04 14:13:58,22.97
33618a,201903040008,2019-03-04 14:14:49,5.5
33618a,201903040009,2019-03-04 14:15:10,19.98
33618a,201903040010,2019-03-04 14:15:46,14.99
33618a,201903040011,2019-03-04 14:16:07,2.99
33618a,201903040012,2019-03-04 14:16:43,11.96
33618a,201903040013,2019-03-04 14:19:37,21.97
33618a,201903040014,2019-03-04 14:20:16,6.99
33618a,201903040015,2019-03-04 14:22:12,3.98
33618a,201903040016,2019-03-04 14:37:44,21.98
33618a,201903040017,2019-03-04 14:41:17,17.99
33618a,201903040018,2019-03-04 14:49:48,9.98
33618a,201903040019,2019-03-04 15:03:20,8.19
33618a,201903040020,2019-03-04 15:03:47,12.99
33618a,201903040021,2019-03-04 15:04:19,11.97
33618a,201903040022,2019-03-04 15:05:42,3.99
33618a,201903040023,2019-03-04 15:06:31,15.18
33618a,201903040024,2019-03-04 16:32:10,8.98
33618a,201903040025,2019-03-04 16:32:46,14.99
33618a,201903040026,2019-03-04 16:48:36,75.06
33618a,201903040027,2019-03-04 17:09:14,4.99
33618a,201903040028,2019-03-04 18:03:04,29.98
33618a,201903040029,2019-03-04 18:15:09,9.69
33618a,201903040030,2019-03-04 18:18:18,25.95
33618a,201903040031,2019-03-04 18:19:28,10.98
33618a,201903040032,2019-03-04 18:19:55,5.98
33618a,201903040033,2019-03-04 18:20:34,8.97
33618a,201903040034,2019-03-04 18:32:07,1.99
33618a,201903050001,2019-03-05 12:18:16,6.98
33618a,201903050002,2019-03-05 12:18:49,2.99
33618a,201903050003,2019-03-05 13:23:48,25.97
33618a,201903050004,2019-03-05 14:15:38,40.96
33618a,201903050005,2019-03-05 14:30:10,7.0
33618a,201903050006,2019-03-05 14:59:31,9.99
33618a,201903050007,2019-03-05 14:59:53,9.98
33618a,201903050008,2019-03-05 15:06:47,4.99
33618a,201903050009,2019-03-05 15:21:14,21.96
33618a,201903050010,2019-03-05 15:21:44,12.99
33618a,201903050011,2019-03-05 15:22:27,34.98
33618a,201903050012,2019-03-05 15:23:05,20.97
33618a,201903050013,2019-03-05 15:23:46,2.99
33618a,201903050014,2019-03-05 15:33:02,9.98
33618a,201903050015,2019-03-05 15:33:48,8.97
33618a,201903050016,2019-03-05 16:00:47,8.59
33618a,201903050017,2019-03-05 16:01:08,6.98
33618a,201903050018,2019-03-05 16:11:10,24.96
33618a,201903050019,2019-03-05 16:45:44,-5.99
33618a,201903050020,2019-03-05 16:45:54,-5.99
33618a,201903050021,2019-03-05 17:15:32,11.96
33618a,201903050022,2019-03-05 17:30:38,19.99
33618a,201903050023,2019-03-05 17:55:04,2.0
33618a,201903050024,2019-03-05 18:00:56,13.98
33618a,201903050025,2019-03-05 18:02:18,33.98
33618a,201903050026,2019-03-05 18:31:00,10.97
33618a,201903050027,2019-03-05 18:33:20,6.99
33618a,201903050028,2019-03-05 18:35:33,6.99
33618a,201903050029,2019-03-05 18:38:34,7.99
33618a,201903050030,2019-03-05 18:46:20,26.14
33618a,201903050031,2019-03-05 18:58:08,3.5
33618a,201903050032,2019-03-05 18:59:05,4.0
33618a,201903060001,2019-03-06 12:09:42,27.96
33618a,201903060002,2019-03-06 12:11:31,2.99
33618a,201903060003,2019-03-06 12:15:54,3.99
33618a,201903060004,2019-03-06 12:38:21,3.99
33618a,201903060005,2019-03-06 12:56:47,4.99
33618a,201903060006,2019-03-06 13:36:06,1.0
33618a,201903060007,2019-03-06 13:39:45,11.97
33618a,201903060008,2019-03-06 13:50:00,4.99
33618a,201903060009,2019-03-06 13:51:39,14.99
33618a,201903060010,2019-03-06 13:52:29,21.97
33618a,201903060011,2019-03-06 14:06:33,3.98
33618a,201903060012,2019-03-06 14:12:20,9.98
33618a,201903060013,2019-03-06 14:33:52,4.99
33618a,201903060014,2019-03-06 15:28:07,7.98
33618a,201903060015,2019-03-06 15:34:04,9.99
33618a,201903060016,2019-03-06 15:39:15,17.97
33618a,201903060017,2019-03-06 16:12:28,16.18
33618a,201903060018,2019-03-06 17:08:46,7.98
33618a,201903060019,2019-03-06 17:14:25,4.99
33618a,201903060020,2019-03-06 18:05:44,7.98
33618a,201903070001,2019-03-07 12:30:21,16.17
33618a,201903070002,2019-03-07 12:31:00,3.99
33618a,201903070003,2019-03-07 12:31:45,29.14
33618a,201903070004,2019-03-07 12:32:06,4.98
33618a,201903070005,2019-03-07 12:51:40,4.99
33618a,201903070006,2019-03-07 13:30:02,9.98
33618a,201903070007,2019-03-07 13:31:20,24.97
33618a,201903070008,2019-03-07 13:48:12,9.99
33618a,201903070009,2019-03-07 13:53:41,6.99
33618a,201903070010,2019-03-07 14:04:47,5.98
33618a,201903070011,2019-03-07 14:35:53,4.99
33618a,201903070012,2019-03-07 14:38:38,10.98
33618a,201903070013,2019-03-07 14:39:11,12.99
33618a,201903070014,2019-03-07 14:41:44,50.92
33618a,201903070015,2019-03-07 15:41:19,5.97
33618a,201903070016,2019-03-07 15:43:31,14.17
33618a,201903070017,2019-03-07 15:57:50,6.99
33618a,201903070018,2019-03-07 15:59:10,17.99
33618a,201903070019,2019-03-07 16:00:48,2.99
33618a,201903070020,2019-03-07 16:19:19,-14.99
33618a,201903070021,2019-03-07 16:25:48,42.92
33618a,201903070022,2019-03-07 16:33:05,25.94
33618a,201903070023,2019-03-07 16:44:33,19.99
33618a,201903070024,2019-03-07 16:45:17,7.98
33618a,201903070025,2019-03-07 16:47:53,7.99
33618a,201903070026,2019-03-07 17:16:51,6.98
33618a,201903070027,2019-03-07 17:28:00,9.98
33618a,201903070028,2019-03-07 17:30:09,11.48
33618a,201903070029,2019-03-07 17:33:27,7.99
33618a,201903070030,2019-03-07 17:34:36,16.16
33618a,201903070031,2019-03-07 17:41:33,5.99
33618a,201903070032,2019-03-07 17:41:55,3.99
33618a,201903070033,2019-03-07 17:42:51,14.95
33618a,201903070034,2019-03-07 18:01:27,4.0
33618a,201903070035,2019-03-07 18:02:38,16.98
33618a,201903070036,2019-03-07 18:07:07,11.98
33618a,201903070037,2019-03-07 18:07:49,29.99
33618a,201903070038,2019-03-07 18:08:48,9.49
33618a,201903070039,2019-03-07 18:09:24,6.99
33618a,201903070040,2019-03-07 18:43:17,10.0
33618a,201903070041,2019-03-07 18:43:39,17.99
33618a,201903070042,2019-03-07 18:54:27,7.19
33618a,201903070043,2019-03-07 19:04:19,19.96
33618a,201903070044,2019-03-07 19:05:16,9.97
33618a,201903070045,2019-03-07 19:08:17,20.16
33618a,201903070046,2019-03-07 19:09:28,25.94
33618a,201903070047,2019-03-07 19:51:13,19.98
33618a,201903070048,2019-03-07 19:53:48,3.99
33618a,201903070049,2019-03-07 19:54:28,12.98
33618a,201903070050,2019-03-07 20:11:41,14.99
33618a,201903070051,2019-03-07 20:32:31,19.99
33618a,201903070052,2019-03-07 20:33:22,12.99
33618a,201903070053,2019-03-07 20:34:11,14.97
33618a,201903070054,2019-03-07 20:36:38,18.96
33618a,201903070055,2019-03-07 20:55:52,5.97
33618a,201903080001,2019-03-08 10:55:31,6.98
33618a,201903080002,2019-03-08 12:37:31,40.95
33618a,201903080003,2019-03-08 12:45:31,3.99
33618a,201903080004,2019-03-08 12:56:59,27.17
33618a,201903080005,2019-03-08 13:32:52,21.18
33618a,201903080006,2019-03-08 13:43:55,5.19
33618a,201903080007,2019-03-08 13:44:34,24.99
33618a,201903080008,2019-03-08 13:56:06,16.98
33618a,201903080009,2019-03-08 15:02:21,14.18
33618a,201903080010,2019-03-08 15:08:33,7.99
33618a,201903080011,2019-03-08 15:09:15,2.0
33618a,201903080012,2019-03-08 15:09:32,9.99
33618a,201903080013,2019-03-08 15:33:32,16.98
33618a,201903080014,2019-03-08 15:38:22,8.98
33618a,201903080015,2019-03-08 15:38:54,24.99
33618a,201903080016,2019-03-08 15:39:14,29.99
33618a,201903080017,2019-03-08 15:39:40,7.99
33618a,201903080018,2019-03-08 15:40:10,12.99
33618a,201903080019,2019-03-08 15:40:39,12.99
33618a,201903080020,2019-03-08 15:41:18,20.18
33618a,201903080021,2019-03-08 15:43:12,41.93
33618a,201903080022,2019-03-08 16:00:19,1.99
33618a,201903080023,2019-03-08 16:00:44,5.98
33618a,201903080024,2019-03-08 16:01:22,12.99
33618a,201903080025,2019-03-08 16:13:54,21.45
33618a,201903080026,2019-03-08 16:14:30,19.98
33618a,201903080027,2019-03-08 16:17:29,14.99
33618a,201903080028,2019-03-08 16:29:54,11.49
33618a,201903080029,2019-03-08 16:35:29,4.0
33618a,201903080030,2019-03-08 16:36:03,9.95
33618a,201903080031,2019-03-08 16:40:39,24.95
33618a,201903080032,2019-03-08 16:47:13,7.99
33618a,201903080033,2019-03-08 16:48:11,19.96
33618a,201903080034,2019-03-08 16:49:44,22.98
33618a,201903080035,2019-03-08 16:51:12,24.97
33618a,201903080036,2019-03-08 16:52:44,19.99
33618a,201903080037,2019-03-08 16:53:24,7.99
33618a,201903080038,2019-03-08 16:54:10,22.98
33618a,201903080039,2019-03-08 16:55:35,17.98
33618a,201903080040,2019-03-08 16:56:07,12.98
33618a,201903080041,2019-03-08 16:57:10,27.94
33618a,201903080042,2019-03-08 17:32:17,4.99
33618a,201903080043,2019-03-08 17:44:29,29.99
33618a,201903080044,2019-03-08 17:45:13,5.98
33618a,201903080045,2019-03-08 17:46:53,45.15
33618a,201903080046,2019-03-08 17:55:19,4.99
33618a,201903080047,2019-03-08 17:55:34,17.98
33618a,201903080048,2019-03-08 17:55:57,12.99
33618a,201903080049,2019-03-08 17:56:18,14.99
33618a,201903080050,2019-03-08 18:01:08,14.98
33618a,201903080051,2019-03-08 18:10:11,11.97
33618a,201903080052,2019-03-08 18:17:13,5.98
33618a,201903080053,2019-03-08 18:17:42,14.99
33618a,201903080054,2019-03-08 18:21:49,7.99
33618a,201903080055,2019-03-08 18:23:27,40.15
33618a,201903080056,2019-03-08 18:24:05,14.99
33618a,201903080057,2019-03-08 19:15:19,43.9
33618a,201903080058,2019-03-08 19:48:15,8.99
33618a,201903080059,2019-03-08 19:52:08,7.98
33618a,201903080060,2019-03-08 20:57:10,9.99
33618a,201903090001,2019-03-09 10:28:29,7.99
33618a,201903090002,2019-03-09 10:59:34,12.98
33618a,201903090003,2019-03-09 10:59:57,3.98
33618a,201903090004,2019-03-09 11:01:05,26.18
33618a,201903090005,2019-03-09 11:16:12,9.97
33618a,201903090006,2019-03-09 11:17:16,12.99
33618a,201903090007,2019-03-09 11:28:48,17.96
33618a,201903090008,2019-03-09 11:49:00,4.09
33618a,201903090009,2019-03-09 11:49:41,18.97
33618a,201903090010,2019-03-09 11:55:40,1.99
33618a,201903090011,2019-03-09 12:03:46,9.99
33618a,201903090012,2019-03-09 12:18:40,4.99
33618a,201903090013,2019-03-09 12:19:21,23.97
33618a,201903090014,2019-03-09 12:26:23,20.95
33618a,201903090015,2019-03-09 12:26:50,7.99
33618a,201903090016,2019-03-09 12:40:26,21.17
33618a,201903090017,2019-03-09 12:41:32,3.98
33618a,201903090018,2019-03-09 12:43:07,4.99
33618a,201903090019,2019-03-09 12:45:03,6.98
33618a,201903090020,2019-03-09 12:56:26,8.98
33618a,201903090021,2019-03-09 13:03:41,5.99
33618a,201903090022,2019-03-09 13:22:37,32.98
33618a,201903090023,2019-03-09 13:34:18,4.99
33618a,201903090024,2019-03-09 13:36:43,47.89
33618a,201903090025,2019-03-09 13:37:18,9.98
33618a,201903090026,2019-03-09 13:38:01,19.98
33618a,201903090027,2019-03-09 13:38:34,20.18
33618a,201903090028,2019-03-09 13:39:06,29.98
33618a,201903090029,2019-03-09 13:39:27,19.99
33618a,201903090030,2019-03-09 13:40:20,19.94
33618a,201903090031,2019-03-09 13:41:45,16.97
33618a,201903090032,2019-03-09 13:42:00,3.99
33618a,201903090033,2019-03-09 14:04:05,21.98
33618a,201903090034,2019-03-09 14:06:31,6.98
33618a,201903090035,2019-03-09 14:09:53,14.99
33618a,201903090036,2019-03-09 14:33:58,8.97
33618a,201903090037,2019-03-09 14:49:20,92.89
33618a,201903090038,2019-03-09 14:49:54,4.99
33618a,201903090039,2019-03-09 15:09:58,9.98
33618a,201903090040,2019-03-09 15:10:26,11.98
33618a,201903090041,2019-03-09 15:21:05,43.14
33618a,201903090042,2019-03-09 15:21:41,9.98
33618a,201903090043,2019-03-09 15:22:32,3.98
33618a,201903090044,2019-03-09 15:23:55,36.16
33618a,201903090045,2019-03-09 15:25:35,2.99
33618a,201903090046,2019-03-09 15:26:20,13.97
33618a,201903090047,2019-03-09 15:27:00,6.99
33618a,201903090048,2019-03-09 15:27:15,14.99
33618a,201903090049,2019-03-09 15:28:06,29.99
33618a,201903090050,2019-03-09 15:30:27,7.99
33618a,201903090051,2019-03-09 15:32:58,13.97
33618a,201903090052,2019-03-09 15:33:32,-13.97
33618a,201903090053,2019-03-09 15:35:21,10.98
33618a,201903090054,2019-03-09 15:36:31,16.96
33618a,201903090055,2019-03-09 15:49:42,9.99
33618a,201903090056,2019-03-09 15:50:37,23.97
33618a,201903090057,2019-03-09 15:51:43,12.98
33618a,201903090058,2019-03-09 16:04:59,7.09
33618a,201903090059,2019-03-09 16:07:03,17.58
33618a,201903090060,2019-03-09 16:07:44,3.99
33618a,201903090061,2019-03-09 16:11:25,16.98
33618a,201903090062,2019-03-09 16:17:12,4.0
33618a,201903090063,2019-03-09 16:17:27,34.99
33618a,201903090064,2019-03-09 16:18:51,11.97
33618a,201903090065,2019-03-09 16:19:38,2.99
33618a,201903090066,2019-03-09 16:26:06,42.34
33618a,201903090067,2019-03-09 16:26:37,4.09
33618a,201903090068,2019-03-09 16:28:28,7.99
33618a,201903090069,2019-03-09 16:28:49,-6.99
33618a,201903090070,2019-03-09 16:29:47,14.99
33618a,201903090071,2019-03-09 16:31:33,4.99
33618a,201903090072,2019-03-09 16:41:51,1.99
33618a,201903090073,2019-03-09 16:48:40,33.15
33618a,201903090074,2019-03-09 16:50:23,20.09
33618a,201903090075,2019-03-09 16:51:48,3.98
33618a,201903090076,2019-03-09 17:16:29,22.16
33618a,201903090077,2019-03-09 17:24:07,4.99
33618a,201903090078,2019-03-09 17:58:35,35.98
33618a,201903090079,2019-03-09 18:03:02,1.99
33618a,201903090080,2019-03-09 18:03:19,1.99
33618a,201903090081,2019-03-09 18:03:56,23.98
33618a,201903090082,2019-03-09 18:10:52,14.94
33618a,201903090083,2019-03-09 18:11:29,8.98
33618a,201903090084,2019-03-09 18:13:13,17.16
33618a,201903090085,2019-03-09 18:14:46,11.98
33618a,201903090086,2019-03-09 18:15:37,9.98
33618a,201903090087,2019-03-09 18:26:38,19.98
33618a,201903090088,2019-03-09 18:35:03,7.98
33618a,201903090089,2019-03-09 18:38:55,22.98
33618a,201903090090,2019-03-09 18:42:24,3.98
33618a,201903090091,2019-03-09 18:43:39,4.99
33618a,201903090092,2019-03-09 18:45:04,19.96
33618a,201903090093,2019-03-09 18:46:08,8.98
33618a,201903090094,2019-03-09 18:49:45,59.15
33618a,201903090095,2019-03-09 18:59:55,66.51
33618a,201903090096,2019-03-09 19:00:26,6.99
33618a,201903090097,2019-03-09 19:09:57,1.99
33618a,201903090098,2019-03-09 19:14:27,3.99
33618a,201903090099,2019-03-09 19:15:02,1.0
33618a,201903090100,2019-03-09 19:16:59,10.18
33618a,201903090101,2019-03-09 19:17:18,14.99
